Bill #,St,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
HB 1267,ND,Relating to cryptocurrenc...,Relating to cryptocurrency custodian services and exchanges; and to provide for a legislative management report.,Jan 11 2021,"Second Reading, Failed To Pass, Yeas 19 Nays 75",Feb 02 2021,https://openstates.org/nd/bills/67/HB1267/,,Nathan Toman; Cole Christensen; Tom Kading; Corey Mock; Shannon Roers Jones; Shawn Vedaa,http://www.ndlegis.gov/assembly/67-2021/regular/documents/21-0720-01000.pdf,88606c8b4be0224fc17e61496a0b9aa6c6ec1b85
HR 8827,US,Stablecoin Classification...,Stablecoin Classification and Regulation Act of 2020,Nov 30 2020,Introduced In House,Nov 30 2020,https://openstates.org/us/bills/116/HR8827/,Rashida Tlaib,Stephen F. Lynch; Jesus G. Garcia,https://www.govinfo.gov/content/pkg/BILLS-116hr8827ih/pdf/BILLS-116hr8827ih.pdf,4e1ddb98834b5d9e2368564f3cb0810f6e728a20
HF 16,MN,Vehicles and property sub...,"Vehicles and property subject to forfeiture limited, innocent owner property recovery provided, federal equitable sharing program participation modified, reports required, and money appropriated.",Aug 12 2020,"Introduction And First Reading, Referred To Judiciary Finance And Civil Law Division",Aug 12 2020,https://openstates.org/mn/bills/2020s3/HF16/,John Lesch,,https://www.revisor.mn.gov/bills/text.php?number=HF16&version=0&session=ls91&session_year=2020&session_number=3,32de8a13b6dec24ce3511e95bcb64a17d527a444
HF 18,MN,Vehicles and property sub...,"Vehicles and property subject to forfeiture limited, property recovery by innocent owners provided, federal equitable sharing program participation modified, reports required, and money appropriated.",Jul 13 2020,"Introduction And First Reading, Referred To Judiciary Finance And Civil Law Division",Jul 13 2020,https://openstates.org/mn/bills/2020s2/HF18/,John Lesch,,https://www.revisor.mn.gov/bills/text.php?number=HF18&version=0&session=ls91&session_year=2020&session_number=2,d90d5bbbcf754447a27c1988bde87997b391caa6
HB 4573,IL,Ruupa-Various,Ruupa-Various,Feb 05 2020,Rule 19(B) / Re-Referred To Rules Committee,Jun 23 2020,https://openstates.org/il/bills/101st/HB4573/,Michael J. Zalewski,,http://ilga.gov/legislation/fulltext.asp?DocName=10100HB4573&GA=101&SessionId=108&DocTypeId=HB&LegID=124290&DocNum=4573&GAID=15&SpecSess=&Session=&print=true,b4bee90d3ce58c100b1024b485a5d6ee4950a908
HF 31,MN,Vehicles and property sub...,"Vehicles and property subject to forfeiture limited, recovery of property by innocent owners provided, federal equitable sharing program participation modified, reports required, and money appropriated.",Jun 12 2020,"Introduction And First Reading, Referred To Judiciary Finance And Civil Law Division",Jun 12 2020,https://openstates.org/mn/bills/2020s1/HF31/,John Lesch,,https://www.revisor.mn.gov/bills/text.php?number=HF31&version=0&session=ls91&session_year=2020&session_number=1,6238a2df747cedd5334a1c5a1d516b04f8ce6127
SB 3153,IL,Ruupa-Various,Ruupa-Various,Feb 06 2020,"Rule 2-10 Committee/3rd Reading Deadline Established As May 31, 2020",May 15 2020,https://openstates.org/il/bills/101st/SB3153/,Rachelle Crowe,,http://ilga.gov/legislation/fulltext.asp?DocName=10100SB3153&GA=101&SessionId=108&DocTypeId=SB&LegID=124539&DocNum=3153&GAID=15&SpecSess=&Session=&print=true,478f16322bcdb7468902d759d9315575b78315c4
SB 192,WI,Relating to: sales and us...,Relating to: sales and use tax exemptions for precious metals and cryptocurrency. (FE),Apr 30 2019,Failed To Pass Pursuant To Senate Joint Resolution 1,Apr 01 2020,https://openstates.org/wi/bills/2019/SB192/,David Craig,,http://docs.legis.wisconsin.gov/document/proposaltext/2019/REG/SB192,d5c26700cf06bd20fcad8f7ad5c3948e244c4a35
AB 200,WI,Relating to: sales and us...,Relating to: sales and use tax exemptions for precious metals and cryptocurrency. (FE),May 08 2019,Failed To Pass Pursuant To Senate Joint Resolution 1,Apr 01 2020,https://openstates.org/wi/bills/2019/AB200/,Ken Skowronski,,http://docs.legis.wisconsin.gov/document/proposaltext/2019/REG/AB200,1121193bc3c7c073e563ae79db9f912446a0af31
HD 4938,MA,An Act relative to financ...,An Act relative to financial literacy in Massachusetts,Mar 26 2020,Referred To The Committee On House Rules,Mar 26 2020,https://openstates.org/ma/bills/191st/HD4938/,Christine P. Barber,Tim Wallis,https://malegislature.gov/Bills/191/HD4938.pdf,b81bb135c735d16c15680d153a6947677200f818
HB 5656,MI,Crimes; prostitution; ref...,"Crimes; prostitution; references to prostitute and prostitution; modify in the Michigan penal code. Amends secs. 13, 159g & 411j of 1931 PA 328 (MCL 750.13 et seq.).  TIE BAR WITH: HB 5655'20",Mar 12 2020,Bill Electronically Reproduced 03/17/2020,Mar 17 2020,https://openstates.org/mi/bills/2019-2020/HB5656/,,Pauline Wendzel; Daire Rendon; Julie Calley; Mary Whiteford; Ann M. Bollin; Annette Glenn; Lynn Afendoulis; Joseph Bellino; Bronna Kahle; Graham Filler; Eric Leutheuser; Sue Allor; Diana Farrington; Abdullah Hammoud; Jeff Yaroch; Karen Whitsett; Kathy Crawford; Julie Alexander; Sara Cambensy,http://legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2020-HIB-5656.htm,187a7c2c1e506b3327261ff2896fe3e021a7c713
SB 1667,OK,Cryptocurrency; authorizi...,Cryptocurrency; authorizing cryptocurrency to be used for purchases and payments under certain conditions; providing for regulations. Effective date.,Feb 03 2020,"Second Reading Referred To Business, Commerce And Tourism Committee Then To Appropriations Committee",Feb 06 2020,https://openstates.org/ok/bills/2020/SB1667/,Nathan Dahm,,http://webserver1.lsb.state.ok.us/cf_pdf/2019-20 INT/SB/SB1667 INT.PDF,d6c8ccd440ef262ce7f0c27419d60ff9cc4c354a
A 2213,NY,Relates to financial tech...,Relates to financial technology products and services; establishes a regulatory sandbox program,Jan 22 2019,Referred To Banks,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/A2213/,KIM,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A2213&term=2019&Text=Y,2ce24d6a0ab9629e654d4365eb4d039af10236ef
A 1427,NY,Establishes a task force ...,Establishes a task force to study the impact of a state-issued cryptocurrency on the state of New York,Jan 15 2019,Referred To Governmental Operations,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/A1427/,VANEL,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A1427&term=2019&Text=Y,9d0acfd0683fff7b48b6d2ff178882b5d4f9768a
A 1500,NY,Relates to establishing c...,Relates to establishing cryptocurrencies as a form of payment for state agencies,Jan 15 2019,Referred To Governmental Operations,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/A1500/,VANEL,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A1500&term=2019&Text=Y,69d84e4bd065f451d6465905fe46796ebf21e20f
HB 470,NH,allowing state agencies t...,allowing state agencies to accept cryptocurrencies as payment.,Jan 10 2019,Inexpedient To Legislate: Ma Vv 01/08/2020  Hj 1  P. 43,Jan 08 2020,https://openstates.org/nh/bills/2020/HB470/,,,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=751&txtFormat=html,b17fc7bcfa8adc29bfe478b295c21e15db85462e
S 4562,NY,Establishes a task force ...,Establishes a task force to study the impact of a state-issued cryptocurrency on the state of New York,Mar 14 2019,Referred To Finance,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/S4562/,PARKER,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S4562&term=2019&Text=Y,5ef5285ca16af7bc528f445972703e1aabc52827
HB 4105,MI,Crimes; embezzlement; cri...,Crimes; embezzlement; crimes involving embezzlement; include cryptocurrency in definitions in embezzlement section in penal code. Amends sec. 174 of 1931 PA 328 (MCL 750.174).,Jan 29 2019,Assigned Pa 173'19,Dec 31 2019,https://openstates.org/mi/bills/2019-2020/HB4105/,,Ryan Berman; Diana Farrington; Vanessa Guerra; Steve Marino; Beau LaFave; Robert Wittenberg,http://legislature.mi.gov/documents/2019-2020/publicact/htm/2019-PA-0173.htm,01fe0ae32ae67cf924a2189a36f95c40c664968d
HB 4107,MI,Crimes; definitions; defi...,Crimes; definitions; definition of cryptocurrency in money laundering definition section of penal code; provide for. Amends sec. 411j of 1931 PA 328 (MCL 750.411j).,Jan 29 2019,Assigned Pa 171'19,Dec 31 2019,https://openstates.org/mi/bills/2019-2020/HB4107/,,Diana Farrington; Ryan Berman; Vanessa Guerra; Steve Marino; Beau LaFave; Robert Wittenberg,http://legislature.mi.gov/documents/2019-2020/publicact/htm/2019-PA-0171.htm,3fc43f503314d59a9a000da3442d8c7e6730d5e0
S 482,US,Defending American Securi...,Defending American Security from Kremlin Aggression Act of 2019,Feb 13 2019,Committee On Foreign Relations. Ordered To Be Reported With An Amendment In The Nature Of A Substitute Favorably.,Dec 18 2019,https://openstates.org/us/bills/116/S482/,LINDSEY O. GRAHAM,Robert Menendez; Cory Gardner; BENJAMIN L. CARDIN; Jeanne Shaheen,https://www.govinfo.gov/content/pkg/BILLS-116s482is/pdf/BILLS-116s482is.pdf,c0cf95d5cba717fdef00ac028c8b39f36d8e1176
HB 470,NH,allowing state agencies t...,allowing state agencies to accept cryptocurrencies as payment.,Jan 10 2019,Committee Report: Inexpedient To Legislate   (Vote 17-1; Cc),Nov 13 2019,https://openstates.org/nh/bills/2019/HB470/,,,None,b17fc7bcfa8adc29bfe478b295c21e15db85462e
RC 23-0123,DC,Correspondence from the M...,"Correspondence from the Mayor - Department of Insurance, Securities, and Banking Fiscal Years 2017 & 2018 Biennial Report",Oct 31 2019,Rc23-0123 Introduced By Chairman Phil Mendelson At Office Of The Secretary,Oct 31 2019,https://openstates.org/dc/bills/23/RC23-0123/,Chairman Phil Mendelson,,http://lims.dccouncil.us/Download/43483/RC23-0123-Introduction.pdf,1ed31d4b6e388cdafd4088860fed0dd864c0129f
S 1025,US,VERDAD Act of 2019,VERDAD Act of 2019,Apr 03 2019,Committee On Foreign Relations. Reported By Senator Risch With An Amendment In The Nature Of A Substitute. Without Written Report.,Jun 03 2019,https://openstates.org/us/bills/116/S1025/,Robert Menendez,Marco Rubio; RICHARD J. DURBIN; Ted Cruz; BENJAMIN L. CARDIN; John Cornyn; Timothy Kaine; Todd Young; Jeanne Shaheen; LINDSEY O. GRAHAM; Michael F. Bennet; John Barrasso; Christopher A. Coons; Bill Cassidy; Josh Hawley; Kirsten E. Gillibrand; THOMAS R. CARPER; Cory Gardner; John Neely Kennedy,https://www.govinfo.gov/content/pkg/BILLS-116s1025is/pdf/BILLS-116s1025is.pdf,dcb277ed7831388183e7a74d083fdf8d0c2951bd
HB 2488,OR,Relating to cryptocurrenc...,Relating to cryptocurrency.,Jan 14 2019,"Chapter 50, (2019 Laws): Effective Date January 1, 2020.",May 10 2019,https://openstates.org/or/bills/2019 Regular Session/HB2488/,Paul Holvey,,https://olis.leg.state.or.us/liz/2019R1/Downloads/MeasureDocument/HB2488/A-Engrossed,3ea5572274215ab83d492215fb4cb8e73783f13c
HB 584,MT,Generally revise laws rel...,Generally revise laws relating to cryptocurrency,Jan 04 2019,Chapter Number Assigned,May 09 2019,https://openstates.org/mt/bills/2019/HB584/,Shane A Morigeau,,https://leg.mt.gov/bills/2019/HB0599//HB0584_x.pdf,6e6c93948882e143c1c08cf9fc2c800621cf568c
HB 4214,TX,Relating to matters conce...,"Relating to matters concerning governmental entities, including cybersecurity, governmental efficiencies, information resources, and emergency planning.",Mar 08 2019,Received From The House,May 01 2019,https://openstates.org/tx/bills/86/HB4214/,Cesar Blanco,John H. Bucy III; Stan Lambert; Morgan Meyer; Miller; John Raney; Lynn Stucky,http://www.legis.state.tx.us/tlodocs/86R/billtext/html/HB04214I.HTM,66588418529ce96fa34e6079afcaa426431d78b3
HB 649,NM,Internet Business Develop...,Internet Business Development & Innovations,Feb 14 2019,Action Postponed Indefinitely,Apr 10 2019,https://openstates.org/nm/bills/2019/HB649/,"Cook, Zachary J.",,http://www.nmlegis.gov/Sessions/19%20Regular/bills/house/HB0649.HTML,69a7d6eaed160d1b4106fb46948731de07cb77e7
HB 2641,IL,Gaming Cybersecurity Act,Gaming Cybersecurity Act,Feb 14 2019,Rule 19(A) / Re-Referred To Rules Committee,Mar 29 2019,https://openstates.org/il/bills/101st/HB2641/,"Jaime M. Andrade, Jr.",,http://ilga.gov/legislation/fulltext.asp?DocName=10100HB2641&GA=101&SessionId=108&DocTypeId=HB&LegID=118805&DocNum=2641&GAID=15&SpecSess=&Session=&print=true,93e4c43e87da38d75f8cadf5d83d06203c304a4b
HR 171,KY,A RESOLUTION urging a com...,A RESOLUTION urging a comprehensive study of and subsequent plan to deal with the growing blockchain technology.,Mar 01 2019,Adopted By Voice Vote,Mar 14 2019,https://openstates.org/ky/bills/2019RS/HR171/,C. McCoy,,https://apps.legislature.ky.gov/recorddocuments/bill/19RS/hr171/orig_bill.pdf,78049ffde9148002f76a75766acbdb9ad6b9844f
SB 19-023,CO,Cryptocurrency Exemption ...,Cryptocurrency Exemption Colorado Digital Token Act,Jan 04 2019,Governor Signed,Mar 06 2019,https://openstates.org/co/bills/2019A/SB19-023/,Hugh McKean,,http://leg.colorado.gov/sites/default/files/2019a_023_signed.pdf,15f50ebf509a707d90281410b8359047b50c9fe4
HCR 3002,ND,A concurrent resolution r...,A concurrent resolution requesting the Legislative Management to study the potential benefits of distributed ledger technology and blockchain for state government.,Jan 03 2019,"Second Reading, Failed To Adopt",Feb 08 2019,https://openstates.org/nd/bills/66/HCR3002/,Legislative Management,,http://www.legis.nd.gov/assembly/66-2019/documents/19-3043-01000.pdf,0667d19ed78dc481487c39dfe3d857ab6fa359da
HB 5335,IL,Revenue-Cryptocurrency,Revenue-Cryptocurrency,Feb 15 2018,Session Sine Die,Jan 08 2019,https://openstates.org/il/bills/100th/HB5335/,Michael J. Zalewski,,http://ilga.gov/legislation/fulltext.asp?DocName=10000HB5335&GA=100&SessionId=91&DocTypeId=HB&LegID=111121&DocNum=5335&GAID=14&Session=&print=true,0ba7959f3c2d2d59fcd037a405dc65ab83a31498
HB 6253,MI,Crimes; embezzlement; cri...,Crimes; embezzlement; crimes involving embezzlement; include cryptocurrency in definitions in embezzlement section in penal code. Amends sec. 174 of 1931 PA 328 (MCL 750.174).,Jun 12 2018,Bill Electronically Reproduced 06/12/2018,Aug 15 2018,https://openstates.org/mi/bills/2017-2018/HB6253/,,Klint Kesto; 39; Vanessa Guerra,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2018-HIB-6253.htm,60206f69d849641faf598e1d5c03b11e8ff37cf8
HB 6254,MI,Crimes; definitions; defi...,Crimes; definitions; definition of cryptocurrency in money laundering definition section of penal code; provide for. Amends sec. 411j of 1931 PA 328 (MCL 750.411j).,Jun 12 2018,Bill Electronically Reproduced 06/12/2018,Aug 15 2018,https://openstates.org/mi/bills/2017-2018/HB6254/,,Diana Farrington; 30,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2018-HIB-6254.htm,d48ffe492c1c12882d448059915da9db41bdc4b5
HB 6258,MI,Crimes; credit cards; cri...,Crimes; credit cards; crimes involving credit cards; include cryptocurrency and distributed ledger technology in definition section of credit chapter in penal code. Amends sec. 157m of 1931 PA 328 (MCL 750.157m).,Jun 12 2018,Bill Electronically Reproduced 06/12/2018,Aug 15 2018,https://openstates.org/mi/bills/2017-2018/HB6258/,,Vanessa Guerra; 95,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2018-HIB-6258.htm,dbcde5804c96b5375432fe3f260273a75fb23b36
S 9013,NY,Relates to the creation o...,Relates to the creation of the digital currency task force,Jun 13 2018,Substituted By A8783b,Jun 19 2018,https://openstates.org/ny/bills/2017-2018/S9013/,PHILLIPS,,http://legislation.nysenate.gov/pdf/bills/2017/S9013,b122a02e484299412ef5555cde3c18f5378e12e6
SB 1091,AZ,income tax payments; bitc...,income tax payments; bitcoin,Jan 10 2018,Vetoed By Governor,May 16 2018,https://openstates.org/az/bills/53rd-2nd-regular/SB1091/,Warren Petersen,David C. Farnsworth; Travis Grantham; Jeff Weninger,https://www.azleg.gov/legtext/53leg/2R/bills/SB1091P.htm,c9937ae6d75b365a2a957c6072fb059ebf9e2fdc
HB 18-1220,CO,Bitcoin Dealers Licensed ...,Bitcoin Dealers Licensed As Money Transmitters,Feb 05 2018,"Senate Committee On Business, Labor, & Technology Postpone Indefinitely",Apr 30 2018,https://openstates.org/co/bills/2018A/HB18-1220/,Jack Tate,,http://leg.colorado.gov/sites/default/files/documents/2018A/bills/2018a_1220_ren.pdf,87ed890d9ce551bf195244aa2aed8691c9286944
HB 2093,TN,Pensions and Retirement B...,"Pensions and Retirement Benefits - As enacted, specifies that nothing in the present law that applies generally to post-employment benefits for public officers and employees prohibits a local education agency from participating in any other post-employment benefits investment trust created pursuant to the Other Post-Employment Benefit Investment Trust Act of 2006. - Amends TCA Title 8.",Jan 30 2018,Effective Date(S) 04/09/2018,Apr 11 2018,https://openstates.org/tn/bills/110/HB2093/,Michael G. Curcio,,http://www.capitol.tn.gov/Bills/110/Bill/HB2093.pdf,42593ede8b3e845e2c0bedd82729e9327c7e95c2
SB 2508,TN,Pensions and Retirement B...,"Pensions and Retirement Benefits - As enacted, specifies that nothing in the present law that applies generally to post-employment benefits for public officers and employees prohibits a local education agency from participating in any other post-employment benefits investment trust created pursuant to the Other Post-Employment Benefit Investment Trust Act of 2006. - Amends TCA Title 8.",Jan 30 2018,Comp. Became Pub. Ch. 661,Apr 11 2018,https://openstates.org/tn/bills/110/SB2508/,Bill Ketron,,http://www.capitol.tn.gov/Bills/110/Bill/SB2508.pdf,4772166f863c82d2918fdc3ee6abc4bc9c0f06d4
A 9899,NY,Relates to the audit of c...,Relates to the audit of cryptocurrency business activity; prohibits licensing fees,Feb 21 2018,Referred To Banks,Feb 21 2018,https://openstates.org/ny/bills/2017-2018/A9899/,KIM,VANEL; QUART; SEPULVEDA; D'URSO; RA,http://assembly.state.ny.us/leg/?sh=printbill&bn=A9899&term=2017,8f88f27949552a7ad1bb287da27968c460e2a5f1
SB 464,GA,Taxes and License Fees; s...,Taxes and License Fees; state revenue commissioner to accept cryptocurrencies for payment; require,Feb 21 2018,Senate Read And Referred,Feb 21 2018,https://openstates.org/ga/bills/2017_18/SB464/,Joshua McKoon,,None,18b8dafc8a4855c2cf3843d6bf4f955eff1e3adc
A 9862,NY,Establishes a task force ...,Establishes a task force to study the potential designation of economic empowerment zones for the mining of cryptocurrencies in the state of New York,Feb 14 2018,Referred To Economic Development,Feb 14 2018,https://openstates.org/ny/bills/2017-2018/A9862/,VANEL,SEPULVEDA; BLAKE; SEAWRIGHT; RAIA; MOSLEY; RA,http://legislation.nysenate.gov/pdf/bills/2017/A9862,26ab018c5787a682caf5152800de04e65150b940
HJ 153,VA,"State recordkeeping, etc....","State recordkeeping, etc.; joint subcommittee to study implementation of blockchain technology.",Jan 23 2018,Left In Rules,Feb 13 2018,https://openstates.org/va/bills/2018/HJ153/,Glenn R. Davis,Nicholas J. Freitas,http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+HJ153,ae28cd7fef5048c3ad6c6359d1d4b78d688a4422
